classification,cell_no,responder_id,question,adjusted_value,selection_data,cont_ratio,region,trim,period,a_weight,g_weight,l_value,sum_adjusted_value,sum_selection_data,ratio_val,winsFitted,K_Value
5610000,105,1316944,693,21,313,0.067,11,N,201812,1.311,1.256,180,21,313,0.0670926518,21.0000000134,299.3723260926
5610000,105,1316944,695,6,313,0.019,11,N,201812,1.311,1.256,39,6,313,0.0191693291,6.0000000083,66.3140039921
5610000,105,1316944,696,5,313,0.016,11,N,201812,1.311,1.256,3,5,313,0.0159744409,5.0000000017,9.6395387697
5610000,105,1316944,703,4,313,0.013,11,N,201812,1.311,1.256,12,4,313,0.0127795527,3.9999999951,22.558155067
5610000,105,1316944,704,4,313,0.013,11,N,201812,1.311,1.256,2,4,313,0.0127795527,3.9999999951,7.0930258404
5610000,105,1316944,707,9,313,0.029,11,N,201812,1.311,1.256,3,9,313,0.0287539936,8.9999999968,13.6395387648
5610000,105,1316944,708,7,313,0.022,11,N,201812,1.311,1.256,10000,7,313,0.0223642173,7.0000000149,15472.1292266347
5610000,105,1316944,709,1,313,0.003,11,N,201812,1.311,1.256,10,1,313,0.0031948882,1.0000000066,16.4651292332
5610000,105,1316944,710,0,313,0.01,11,N,201812,1.311,1.256,1,0,313,0,0,1.5465129227
5610000,105,1316944,711,8,313,0.026,11,N,201812,1.311,1.256,31,8,313,0.0255591054,7.9999999902,55.9419005927
5610000,105,1316944,712,1,313,0.003,11,N,201812,1.311,1.256,12,1,313,0.0031948882,1.0000000066,19.5581550785
3366000,65,11677331,681,56,635,0.088,10,N,201809,2.667,1.479,262,68,1214,0.0560131796,35.568369046,124.5480337964
3366000,65,11677331,688,2,635,0.003,10,N,201809,2.667,1.479,193,9,1531,0.0058785108,3.732854358,69.2789432772
3366000,65,11677331,689,2,635,0.003,10,N,201809,2.667,1.479,89,21,1531,0.0137165251,8.7099934385,38.9359100904
3366000,65,11677331,692,72,635,0.113,10,N,201809,2.667,1.479,52,379,1214,0.3121911038,198.241350913,215.9014370467
3366000,65,11677331,693,11,635,0.017,10,N,201809,2.667,1.479,152,682,1531,0.4454604833,282.8674068955,334.4891971324
3366000,65,11677331,695,2,635,0.003,10,N,201809,2.667,1.479,39,10,1531,0.0065316786,4.147615911,17.3926805113
3366000,65,11677331,696,2,635,0.003,10,N,201809,2.667,1.479,3,2,1531,0.0013063357,0.8295231695,1.8483742926
3366000,65,11677331,697,5,635,0.008,10,N,201809,2.667,1.479,3,4638,1531,3.0293925539,1923.6642717265,1924.6831228496
3366000,65,11677331,703,1,635,0.002,10,N,201809,2.667,1.479,12,1,1531,0.0006531679,0.4147616165,4.4901661089
3366000,65,11677331,704,1,635,0.002,10,N,201809,2.667,1.479,2,2,1531,0.0013063357,0.8295231695,1.5087572516
3366000,65,11677331,707,1,635,0.002,10,N,201809,2.667,1.479,3,2,1531,0.0013063357,0.8295231695,1.8483742926
3366000,65,11677331,708,1,635,0.002,10,N,201809,2.667,1.479,10000,1,1531,0.0006531679,0.4147616165,3396.5851719384
3366000,65,11677331,709,2,635,0.003,10,N,201809,2.667,1.479,10,72,1531,0.0470280862,29.862834737,33.2590051473
3366000,65,11677331,710,2,635,0.003,10,N,201809,2.667,1.479,1,12,1531,0.0078380144,4.977139144,5.316756185
3366000,65,11677331,711,3,635,0.005,10,N,201809,2.667,1.479,31,988,1531,0.6453298498,409.784454623,420.312582895
3366000,65,11677331,712,3,635,0.005,10,N,201809,2.667,1.479,12,635,1531,0.4147615937,263.3736119995,267.4490164919
3366000,65,11677331,681,56,635,0.088,10,N,201812,3.5,1.299,262,68,1214,0.0560131796,35.568369046,109.4440210973
3366000,65,11677331,688,2,635,0.003,10,N,201812,3.5,1.299,193,9,1531,0.0058785108,3.732854358,58.1527049149
3366000,65,11677331,689,2,635,0.003,10,N,201812,3.5,1.299,89,21,1531,0.0137165251,8.7099934385,33.8051576849
3366000,65,11677331,692,72,635,0.113,10,N,201812,3.5,1.299,206,379,1214,0.3121911038,198.241350913,256.3267872587
3366000,65,11677331,693,11,635,0.017,10,N,201812,3.5,1.299,181,682,1531,0.4454604833,282.8674068955,333.9036398012
3366000,65,11677331,695,2,635,0.003,10,N,201812,3.5,1.299,39,10,1531,0.0065316786,4.147615911,15.1443732774
3366000,65,11677331,696,2,635,0.003,10,N,201812,3.5,1.299,3,2,1531,0.0013063357,0.8295231695,1.6754275823
3366000,65,11677331,697,5,635,0.008,10,N,201812,3.5,1.299,3,4638,1531,3.0293925539,1923.6642717265,1924.5101761393
3366000,65,11677331,703,1,635,0.002,10,N,201812,3.5,1.299,12,1,1531,0.0006531679,0.4147616165,3.7983792677
3366000,65,11677331,704,0,635,0.002,10,N,201812,3.5,1.299,2,1,1531,0.0006531679,0.4147616165,0.9786978917
3366000,65,11677331,707,1,635,0.002,10,N,201812,3.5,1.299,3,2,1531,0.0013063357,0.8295231695,1.6754275823
3366000,65,11677331,708,1,635,0.002,10,N,201812,3.5,1.299,10000,1,1531,0.0006531679,0.4147616165,2820.096137621
3366000,65,11677331,709,2,635,0.003,10,N,201812,3.5,1.299,10,73,1531,0.0476812541,30.2775963535,33.0972777295
3366000,65,11677331,710,2,635,0.003,10,N,201812,3.5,1.299,1,12,1531,0.0078380144,4.977139144,5.2591072816
3366000,65,11677331,711,3,635,0.005,10,N,201812,3.5,1.299,31,988,1531,0.6453298498,409.784454623,418.5254668886
3366000,65,11677331,712,3,635,0.005,10,N,201812,3.5,1.299,12,635,1531,0.4147615937,263.3736119995,266.7572296507
3366000,65,16549091,681,12,579,0.021,10,N,201809,2.667,1.479,262,68,1214,0.0560131796,32.4316309884,121.4112957388
3366000,65,16549091,688,7,579,0.012,10,N,201809,2.667,1.479,193,9,1531,0.0058785108,3.4036577532,68.9497466724
3366000,65,16549091,689,19,579,0.033,10,N,201809,2.667,1.479,89,21,1531,0.0137165251,7.9418680329,38.1677846848
3366000,65,16549091,692,307,579,0.53,10,N,201809,2.667,1.479,10,379,1214,0.3121911038,180.7586491002,184.1548195105
3366000,65,16549091,693,20,579,0.035,10,N,201809,2.667,1.479,503,682,1531,0.4454604833,257.9216198307,428.7489914699
3366000,65,16549091,695,0,579,0.116,10,N,201809,2.667,1.479,39,10,1531,0.0065316786,3.7818419094,17.0269065097
3366000,65,16549091,696,0,579,0,10,N,201809,2.667,1.479,3,2,1531,0.0013063357,0.7563683703,1.7752194934
3366000,65,16549091,697,100,579,0.173,10,N,201809,2.667,1.479,3,4638,1531,3.0293925539,1754.0182887081,1755.0371398312
3366000,65,16549091,703,0,579,0,10,N,201809,2.667,1.479,12,1,1531,0.0006531679,0.3781842141,4.4535887065
3366000,65,16549091,704,1,579,0.002,10,N,201809,2.667,1.479,2,2,1531,0.0013063357,0.7563683703,1.4356024524
3366000,65,16549091,707,1,579,0.002,10,N,201809,2.667,1.479,3,2,1531,0.0013063357,0.7563683703,1.7752194934
3366000,65,16549091,708,0,579,0,10,N,201809,2.667,1.479,10000,1,1531,0.0006531679,0.3781842141,3396.548594536
3366000,65,16549091,709,70,579,0.121,10,N,201809,2.667,1.479,10,72,1531,0.0470280862,27.2292619098,30.6254323201
3366000,65,16549091,710,0,579,0,10,N,201809,2.667,1.479,1,12,1531,0.0078380144,4.5382103376,4.8778273786
3366000,65,16549091,711,50,579,0.086,10,N,201809,2.667,1.479,31,988,1531,0.6453298498,373.6459830342,384.1741113062
3366000,65,16549091,712,0,579,0,10,N,201809,2.667,1.479,12,635,1531,0.4147615937,240.1469627523,244.2223672447
3366000,65,16549091,681,12,579,0.021,10,N,201812,3.5,1.299,262,68,1214,0.0560131796,32.4316309884,106.3072830397
3366000,65,16549091,688,7,579,0.012,10,N,201812,3.5,1.299,193,9,1531,0.0058785108,3.4036577532,57.8235083101
3366000,65,16549091,689,19,579,0.033,10,N,201812,3.5,1.299,89,21,1531,0.0137165251,7.9418680329,33.0370322793
3366000,65,16549091,692,307,579,0.53,10,N,201812,3.5,1.299,309,379,1214,0.3121911038,180.7586491002,267.8868036187
3366000,65,16549091,693,20,579,0.035,10,N,201812,3.5,1.299,165,682,1531,0.4454604833,257.9216198307,304.4463625348
3366000,65,16549091,695,0,579,0.116,10,N,201812,3.5,1.299,39,10,1531,0.0065316786,3.7818419094,14.7785992758
3366000,65,16549091,696,0,579,0,10,N,201812,3.5,1.299,3,2,1531,0.0013063357,0.7563683703,1.6022727831
3366000,65,16549091,697,100,579,0.173,10,N,201812,3.5,1.299,3,4638,1531,3.0293925539,1754.0182887081,1754.8641931209
3366000,65,16549091,703,0,579,0,10,N,201812,3.5,1.299,12,1,1531,0.0006531679,0.3781842141,3.7618018653
3366000,65,16549091,704,1,579,0.002,10,N,201812,3.5,1.299,2,1,1531,0.0006531679,0.3781842141,0.9421204893
3366000,65,16549091,707,1,579,0.002,10,N,201812,3.5,1.299,3,2,1531,0.0013063357,0.7563683703,1.6022727831
3366000,65,16549091,708,0,579,0,10,N,201812,3.5,1.299,10000,1,1531,0.0006531679,0.3781842141,2820.0595602186
3366000,65,16549091,709,70,579,0.121,10,N,201812,3.5,1.299,10,73,1531,0.0476812541,27.6074461239,30.4271274999
3366000,65,16549091,710,0,579,0,10,N,201812,3.5,1.299,1,12,1531,0.0078380144,4.5382103376,4.8201784752
3366000,65,16549091,711,50,579,0.086,10,N,201812,3.5,1.299,31,988,1531,0.6453298498,373.6459830342,382.3869952998
3366000,65,16549091,712,0,579,0,10,N,201812,3.5,1.299,12,635,1531,0.4147615937,240.1469627523,243.5305804035
3366000,65,16572941,688,0,317,0,10,N,201809,2.667,1.479,193,9,1531,0.0058785108,1.8634879236,67.4095768428
3366000,65,16572941,689,0,317,0.028,10,N,201809,2.667,1.479,89,21,1531,0.0137165251,4.3481384567,34.5740551086
3366000,65,16572941,693,651,317,2.054,10,N,201809,2.667,1.479,209,682,1531,0.4454604833,141.2109732061,212.1909347818
3366000,65,16572941,695,8,317,0.025,10,N,201809,2.667,1.479,39,10,1531,0.0065316786,2.0705421162,15.3156067165
3366000,65,16572941,696,0,317,0,10,N,201809,2.667,1.479,3,2,1531,0.0013063357,0.4141084169,1.43295954
3366000,65,16572941,697,4533,317,14.3,10,N,201809,2.667,1.479,3,4638,1531,3.0293925539,960.3174395863,961.3362907094
3366000,65,16572941,703,0,317,0,10,N,201809,2.667,1.479,12,1,1531,0.0006531679,0.2070542243,4.2824587167
3366000,65,16572941,704,0,317,0,10,N,201809,2.667,1.479,2,2,1531,0.0013063357,0.4141084169,1.093342499
3366000,65,16572941,707,0,317,0,10,N,201809,2.667,1.479,3,2,1531,0.0013063357,0.4141084169,1.43295954
3366000,65,16572941,708,0,317,0,10,N,201809,2.667,1.479,10000,1,1531,0.0006531679,0.2070542243,3396.3774645462
3366000,65,16572941,709,0,317,0.003,10,N,201809,2.667,1.479,10,72,1531,0.0470280862,14.9079033254,18.3040737357
3366000,65,16572941,710,10,317,0.032,10,N,201809,2.667,1.479,1,12,1531,0.0078380144,2.4846505648,2.8242676058
3366000,65,16572941,711,935,317,2.95,10,N,201809,2.667,1.479,31,988,1531,0.6453298498,204.5695623866,215.0976906586
3366000,65,16572941,712,632,317,1.994,10,N,201809,2.667,1.479,12,635,1531,0.4147615937,131.4794252029,135.5548296953
3366000,65,16572941,688,0,317,0,10,N,201812,3.5,1.299,193,9,1531,0.0058785108,1.8634879236,56.2833384805
3366000,65,16572941,689,0,317,0.028,10,N,201812,3.5,1.299,89,21,1531,0.0137165251,4.3481384567,29.4433027031
3366000,65,16572941,693,651,317,2.054,10,N,201812,3.5,1.299,3,682,1531,0.4454604833,141.2109732061,142.0568776189
3366000,65,16572941,695,8,317,0.025,10,N,201812,3.5,1.299,39,10,1531,0.0065316786,2.0705421162,13.0672994826
3366000,65,16572941,696,0,317,0,10,N,201812,3.5,1.299,3,2,1531,0.0013063357,0.4141084169,1.2600128297
3366000,65,16572941,697,4533,317,14.3,10,N,201812,3.5,1.299,3,4638,1531,3.0293925539,960.3174395863,961.1633439991
3366000,65,16572941,703,0,317,0,10,N,201812,3.5,1.299,12,1,1531,0.0006531679,0.2070542243,3.5906718755
3366000,65,16572941,704,0,317,0,10,N,201812,3.5,1.299,2,1,1531,0.0006531679,0.2070542243,0.7709904995
3366000,65,16572941,707,0,317,0,10,N,201812,3.5,1.299,3,2,1531,0.0013063357,0.4141084169,1.2600128297
3366000,65,16572941,708,0,317,0,10,N,201812,3.5,1.299,10000,1,1531,0.0006531679,0.2070542243,2819.8884302288
3366000,65,16572941,709,1,317,0.003,10,N,201812,3.5,1.299,10,73,1531,0.0476812541,15.1149575497,17.9346389257
3366000,65,16572941,710,10,317,0.032,10,N,201812,3.5,1.299,1,12,1531,0.0078380144,2.4846505648,2.7666187024
3366000,65,16572941,711,935,317,2.95,10,N,201812,3.5,1.299,31,988,1531,0.6453298498,204.5695623866,213.3105746522
3366000,65,16572941,712,632,317,1.994,10,N,201812,3.5,1.299,12,635,1531,0.4147615937,131.4794252029,134.8630428541
37026000,695,5302969643,681,10,396,0.025,0,N,201809,2.184,3.741,262,10,396,0.0252525253,10.0000000188,46.5393905976
37026000,695,5302969643,688,5,396,0.013,0,N,201809,2.184,3.741,193,5,396,0.0126262626,4.9999999896,31.9164212938
37026000,695,5302969643,689,6,396,0.015,0,N,201809,2.184,3.741,89,6,396,0.0151515152,6.0000000192,18.4122357501
37026000,695,5302969643,692,40,396,0.101,0,N,201809,2.184,3.741,99,40,396,0.101010101,39.999999996,53.8068689551
37026000,695,5302969643,693,21,396,0.053,0,N,201809,2.184,3.741,77,21,396,0.053030303,20.999999988,31.7386758451
37026000,695,5302969643,695,7,396,0.018,0,N,201809,2.184,3.741,39,7,396,0.0176767677,7.0000000092,12.4390695992
37026000,695,5302969643,696,0,396,0.01,0,N,201809,2.184,3.741,3,0,396,0,0,0.4183899685
37026000,695,5302969643,703,4,396,0.01,0,N,201809,2.184,3.741,12,4,396,0.0101010101,3.9999999996,5.6735598734
37026000,695,5302969643,704,2,396,0.005,0,N,201809,2.184,3.741,2,2,396,0.0050505051,2.0000000196,2.2789266652
37026000,695,5302969643,707,5,396,0.013,0,N,201809,2.184,3.741,3,5,396,0.0126262626,4.9999999896,5.4183899581
37026000,695,5302969643,708,5,396,0.013,0,N,201809,2.184,3.741,10000,5,396,0.0126262626,4.9999999896,1399.6332281862
37026000,695,5302969643,709,8,396,0.02,0,N,201809,2.184,3.741,10,8,396,0.0202020202,7.9999999992,9.3946332274
37026000,695,5302969643,710,1,396,0.003,0,N,201809,2.184,3.741,1,1,396,0.0025252525,0.99999999,1.1394633128
37026000,695,5302969643,711,1,396,0.003,0,N,201809,2.184,3.741,31,1,396,0.0025252525,0.99999999,5.3233629974
37026000,695,5302969643,712,3,396,0.008,0,N,201809,2.184,3.741,12,3,396,0.0075757576,3.0000000096,4.6735598834
37026000,695,5302969643,681,10,396,0.025,0,N,201812,5.431,2.312,262,10,396,0.0252525253,10.0000000188,32.6712789351
37026000,695,5302969643,688,5,396,0.013,0,N,201812,5.431,2.312,193,5,396,0.0126262626,4.9999999896,21.7005985806
37026000,695,5302969643,689,0,396,0.015,0,N,201812,5.431,2.312,89,0,396,0,0,7.7013123036
37026000,695,5302969643,692,40,396,0.101,0,N,201812,5.431,2.312,707,40,396,0.101010101,39.999999996,101.1778404303
37026000,695,5302969643,693,21,396,0.053,0,N,201812,5.431,2.312,86,21,396,0.053030303,20.999999988,28.4417174949
37026000,695,5302969643,695,7,396,0.018,0,N,201812,5.431,2.312,39,7,396,0.0176767677,7.0000000092,10.374732367
37026000,695,5302969643,696,4,396,0.01,0,N,201812,5.431,2.312,3,4,396,0.0101010101,3.9999999996,4.2595947964
37026000,695,5302969643,703,4,396,0.01,0,N,201812,5.431,2.312,12,4,396,0.0101010101,3.9999999996,5.0383791866
37026000,695,5302969643,704,2,396,0.005,0,N,201812,5.431,2.312,2,2,396,0.0050505051,2.0000000196,2.1730632174
37026000,695,5302969643,707,5,396,0.013,0,N,201812,5.431,2.312,3,5,396,0.0126262626,4.9999999896,5.2595947864
37026000,695,5302969643,708,5,396,0.013,0,N,201812,5.431,2.312,10000,5,396,0.0126262626,4.9999999896,870.31598916
37026000,695,5302969643,709,8,396,0.02,0,N,201812,5.431,2.312,10,8,396,0.0202020202,7.9999999992,8.8653159884
37026000,695,5302969643,710,1,396,0.003,0,N,201812,5.431,2.312,1,1,396,0.0025252525,0.99999999,1.0865315889
37026000,695,5302969643,711,1,396,0.003,0,N,201812,5.431,2.312,31,1,396,0.0025252525,0.99999999,3.6824795564
37026000,695,5302969643,712,3,396,0.008,0,N,201812,5.431,2.312,12,3,396,0.0075757576,3.0000000096,4.0383791966
