classification,cell_no,responder_id,question,adjusted_value,selection_data,cont_ratio,region,trim,period,a_weight,g_weight,l_value,sum_adjusted_value,sum_selection_data,ratio_val,winsFitted,K_Value,O_weight
3366000,65,16572941,704,0,317,0,10,N,201809,2.667,1.479,2,2,1531,0.0013063357,0.4141084169,1.093342499,
3366000,65,16572941,707,0,317,0,10,N,201809,2.667,1.479,3,2,1531,0.0013063357,0.4141084169,1.43295954,
3366000,65,16572941,708,0,317,0,10,N,201809,2.667,1.479,10000,1,1531,0.0006531679,0.2070542243,3396.3774645462,
3366000,65,16572941,709,0,317,0.003,10,N,201809,2.667,1.479,10,72,1531,0.0470280862,14.9079033254,18.3040737357,
3366000,65,16572941,710,10,317,0.032,10,N,201809,2.667,1.479,1,12,1531,0.0078380144,2.4846505648,2.8242676058,0.4643444974
3366000,65,16572941,711,935,317,2.95,10,N,201809,2.667,1.479,31,988,1531,0.6453298498,204.5695623866,215.0976906586,0.4252469397
3366000,65,16572941,712,632,317,1.994,10,N,201809,2.667,1.479,12,635,1531,0.4147615937,131.4794252029,135.5548296953,0.4136275623
3366000,65,16572941,688,0,317,0,10,N,201812,3.5,1.299,193,9,1531,0.0058785108,1.8634879236,56.2833384805,
3366000,65,16572941,689,0,317,0.028,10,N,201812,3.5,1.299,89,21,1531,0.0137165251,4.3481384567,29.4433027031,
3366000,65,16572941,693,651,317,2.054,10,N,201812,3.5,1.299,3,682,1531,0.4454604833,141.2109732061,142.0568776189,0.3901668478
3366000,65,16572941,695,8,317,0.025,10,N,201812,3.5,1.299,39,10,1531,0.0065316786,2.0705421162,13.0672994826,1.4940937429
3366000,65,16572941,696,0,317,0,10,N,201812,3.5,1.299,3,2,1531,0.0013063357,0.4141084169,1.2600128297,
3366000,65,16572941,697,4533,317,14.3,10,N,201812,3.5,1.299,3,4638,1531,3.0293925539,960.3174395863,961.1633439991,0.3853489334
3366000,65,16572941,703,0,317,0,10,N,201812,3.5,1.299,12,1,1531,0.0006531679,0.2070542243,3.5906718755,
3366000,65,16572941,704,0,317,0,10,N,201812,3.5,1.299,2,1,1531,0.0006531679,0.2070542243,0.7709904995,
3366000,65,16572941,707,0,317,0,10,N,201812,3.5,1.299,3,2,1531,0.0013063357,0.4141084169,1.2600128297,
3366000,65,16572941,708,0,317,0,10,N,201812,3.5,1.299,10000,1,1531,0.0006531679,0.2070542243,2819.8884302288,
3366000,65,16572941,709,1,317,0.003,10,N,201812,3.5,1.299,10,73,1531,0.0476812541,15.1149575497,17.9346389257,14.2098750577
3366000,65,16572941,710,10,317,0.032,10,N,201812,3.5,1.299,1,12,1531,0.0078380144,2.4846505648,2.7666187024,0.4357596663
3366000,65,16572941,711,935,317,2.95,10,N,201812,3.5,1.299,31,988,1531,0.6453298498,204.5695623866,213.3105746522,0.3979098814
3366000,65,16572941,712,632,317,1.994,10,N,201812,3.5,1.299,12,635,1531,0.4147615937,131.4794252029,134.8630428541,0.3864051014
37026000,695,5302969643,681,10,396,0.025,0,N,201809,2.184,3.741,262,10,396,0.0252525253,10.0000000188,46.5393905976,4.2067193271
37026000,695,5302969643,688,5,396,0.013,0,N,201809,2.184,3.741,193,5,396,0.0126262626,4.9999999896,31.9164212938,5.7244032791
37026000,695,5302969643,689,6,396,0.015,0,N,201809,2.184,3.741,89,6,396,0.0151515152,6.0000000192,18.4122357501,2.8155090356
37026000,695,5302969643,692,40,396,0.101,0,N,201809,2.184,3.741,99,40,396,0.101010101,39.999999996,53.8068689551,1.3029248217
37026000,695,5302969643,693,21,396,0.053,0,N,201809,2.184,3.741,77,21,396,0.053030303,20.999999988,31.7386758451,1.4487775132
37026000,695,5302969643,695,7,396,0.018,0,N,201809,2.184,3.741,39,7,396,0.0176767677,7.0000000092,12.4390695992,1.6819086909
37026000,695,5302969643,696,0,396,0.01,0,N,201809,2.184,3.741,3,0,396,0,0,0.4183899685,
37026000,695,5302969643,703,4,396,0.01,0,N,201809,2.184,3.741,12,4,396,0.0101010101,3.9999999996,5.6735598734,1.367181602
37026000,695,5302969643,704,2,396,0.005,0,N,201809,2.184,3.741,2,2,396,0.0050505051,2.0000000196,2.2789266652,1.122393876
37026000,695,5302969643,707,5,396,0.013,0,N,201809,2.184,3.741,3,5,396,0.0126262626,4.9999999896,5.4183899581,1.0734363186
37026000,695,5302969643,708,5,396,0.013,0,N,201809,2.184,3.741,10000,5,396,0.0126262626,4.9999999896,1399.6332281862,245.7877347619
37026000,695,5302969643,709,8,396,0.02,0,N,201809,2.184,3.741,10,8,396,0.0202020202,7.9999999992,9.3946332274,1.1529923341
37026000,695,5302969643,710,1,396,0.003,0,N,201809,2.184,3.741,1,1,396,0.0025252525,0.99999999,1.1394633128,1.1223938586
37026000,695,5302969643,711,1,396,0.003,0,N,201809,2.184,3.741,31,1,396,0.0025252525,0.99999999,5.3233629974,4.7942098801
37026000,695,5302969643,712,3,396,0.008,0,N,201809,2.184,3.741,12,3,396,0.0075757576,3.0000000096,4.6735598834,1.4895754723
37026000,695,5302969643,681,10,396,0.025,0,N,201812,5.431,2.312,262,10,396,0.0252525253,10.0000000188,32.6712789351,3.0865733641
37026000,695,5302969643,688,5,396,0.013,0,N,201812,5.431,2.312,193,5,396,0.0126262626,4.9999999896,21.7005985806,4.0741118983
37026000,695,5302969643,689,0,396,0.015,0,N,201812,5.431,2.312,89,0,396,0,0,7.7013123036,
37026000,695,5302969643,692,40,396,0.101,0,N,201812,5.431,2.312,707,40,396,0.101010101,39.999999996,101.1778404303,2.4076406174
37026000,695,5302969643,693,21,396,0.053,0,N,201812,5.431,2.312,86,21,396,0.053030303,20.999999988,28.4417174949,1.3261455995
37026000,695,5302969643,695,7,396,0.018,0,N,201812,5.431,2.312,39,7,396,0.0176767677,7.0000000092,10.374732367,1.4437097129
37026000,695,5302969643,696,4,396,0.01,0,N,201812,5.431,2.312,3,4,396,0.0101010101,3.9999999996,4.2595947964,1.0597301534
37026000,695,5302969643,703,4,396,0.01,0,N,201812,5.431,2.312,12,4,396,0.0101010101,3.9999999996,5.0383791866,1.2389206139
37026000,695,5302969643,704,2,396,0.005,0,N,201812,5.431,2.312,2,2,396,0.0050505051,2.0000000196,2.1730632174,1.0796402137
37026000,695,5302969643,707,5,396,0.013,0,N,201812,5.431,2.312,3,5,396,0.0126262626,4.9999999896,5.2595947864,1.0477841209
37026000,695,5302969643,708,5,396,0.013,0,N,201812,5.431,2.312,10000,5,396,0.0126262626,4.9999999896,870.31598916,160.280409336
37026000,695,5302969643,709,8,396,0.02,0,N,201812,5.431,2.312,10,8,396,0.0202020202,7.9999999992,8.8653159884,1.0995502557
37026000,695,5302969643,710,1,396,0.003,0,N,201812,5.431,2.312,1,1,396,0.0025252525,0.99999999,1.0865315889,1.0796401954
37026000,695,5302969643,711,1,396,0.003,0,N,201812,5.431,2.312,31,1,396,0.0025252525,0.99999999,3.6824795564,3.4688463355
37026000,695,5302969643,712,3,396,0.008,0,N,201812,5.431,2.312,12,3,396,0.0075757576,3.0000000096,4.0383791966,1.3185608216
